verse_key,translation
1:1,nama allah maha asih maha sayang
1:2,puji allah tuhan alam
1:3,maha asih maha sayang
1:4,milik balas
1:5,engkau sembah engkau mohon tolong
1:6,tunjuk jalan lurus
1:7,jalan engkau nikmat jalan murka jalan sesat
2:1,alif lam mim
2:2,kitab ragu tunjuk takwa
2:3,iman gaib laksana salat infak rezeki
2:4,iman turun kepada muhammad turun engkau akhirat
2:5,tunjuk tuhan untung
2:6,sungguh kafir engkau muhammad ingat engkau ingat iman
2:7,allah kunci hati dengar lihat tutup azab berat
2:8,manusia iman allah sungguh iman
2:9,tipu allah iman tipu sadar
2:10,hati sakit allah tambah sakit azab pedih dusta
2:11,buat rusa bumi sungguh baik
2:12,ingat sungguh buat rusa sadar
2:13,rim orang iman iman akal iman ingat sungguh akal
2:14,jumpa orang iman pimpin sungguh
2:15,allah biar sesat
2:16,beli sesat tunjuk dagang untung tunjuk
2:17,umpama nyala api rang keliling allah lenyap cahaya sari biar gelap
2:18,tuli bisu buta
2:19,orang timpa hujan lebat langit serta gelap petir kilat sumbat telinga hindar suara petir takut mati allah liput kafir
2:20,kilat sambar lihat kali kilat sari jalan sinar gelap terpa henti allah niscaya hilang dengar lihat sungguh allah mahakuasa
2:21,manusia sembah tuhan cipta takwa
2:22,jadi bumi hampar bagi langit atap turun air hujan langit hasil hujan rezeki untuk ada allah
2:23,ragu turun hamba muhammad buat surah dengan ajak allah
2:24,buat takut api neraka bahan bakar manusia batu sedia kafir
2:25,sampai kabar gembira iman buat kebaji sedia alir bawah kali rezeki surga rezeki oleh suci kekal dalam
2:26,sungguh allah segan umpama ekor nyamuk iman benar tuhan kafir maksud allah umpama umpama orang sesat orang tunjuk sesat umpama fasik
2:27,langgar janji allah janji teguh putus perintah allah sambung buat rusa bumi rugi
2:28,ingkar allah mati hidup mati hidup kembali
2:29,allah cipta bumi untuk langit sempurna tujuh langit maha
2:30,ingat tuhan firman malaikat jadi khalifah engkau jadi orang rusak tumpah darah tasbih suci firman sungguh tahu
2:31,ajar adam benda lihat malaikat seraya firman sebut nama benda
2:32,mahasuci engkau tahu engkau ajar sungguh engkau maha mahabijaksana
2:33,allah firman adam beritahukanlah adam firman kepada rahasia langit bumi nyata sembunyi
2:34,ingat firman malaikat sujud adam sujud kecuali iblis tolak sombong golong kafir
2:35,firman adam tinggal engkau istri surga makan nikmat makan suka dekat pohon zalim
